INECode,IdescatCode,Municipality,brand,province,x,y,beds,beds_by_apartment,Population,Income_Household,Income_Person,Perc_Foreing,Perc_Older65,Rental2020,Rental2019,Rental2018,Rental2017,Rental2016,Rental2015,rental_incr,Perc_TuristicHouseholds_INE,TuristicHousehold,SUP_MUNI,ORSUP_MUNI,airbnb,total_homesCat2011,DataHippo_numAirbnb_10m,perc_AirbnbOk
8172,081727,Premià de Mar,Costa Barcelona,Barcelona,395984.45377817,4636168.34460339,302.00,4.38,28531.00,34367.00,13008.00,17.56,18.70,796.26,759.42,723.39,696.31,628.14,600.94,32.50,0.53,69.00,"2,19",B,94,10891,125,1.15
8174,081748,Puigdàlber,Costa Barcelona,Barcelona,384370.939418849,4589714.2871661,20.00,10.00,524.00,34520.00,12516.00,5.53,17.30,558.33,593.75,607.00,884.17,917.74,437.78,27.54,0.84,2.00,"0,48",B,2,,6,NA
8179,081799,Rellinars,Costa Barcelona,Barcelona,407597.968137491,4612941.31588475,68.00,11.33,809.00,31354.00,11985.00,5.81,15.90,514.52,446.82,510.56,444.62,494.09,469.64,9.56,01.06,6.00,"17,79",B,9,,13,NA
8180,081803,Ripollet,Costa Barcelona,Barcelona,413404.725317151,4607134.55870509,29.00,2.23,39179.00,30524.00,11365.00,15.82,14.80,635.76,646.70,616.33,540.39,509.55,502.80,26.44,0.09,13.00,"4,33",B,22,14033,22,0.16
8181,081810,"Roca del Vallès, La",Costa Barcelona,Barcelona,442438.511215454,4607134.55870509,98.00,5.76,10754.00,39241.00,14145.00,7.41,15.20,724.06,700.70,681.88,608.78,610.28,575.96,25.71,0.4,17.00,"36,9",B,13,3622,18,0.50
8184,081846,Rubí,Costa Barcelona,Barcelona,413404.725317151,4601327.80152543,145.00,3.54,78591.00,32571.00,11837.00,18.46,15.10,686.96,666.68,630.48,582.26,537.04,495.96,38.51,0.12,41.00,"32,29",B,60,28114,62,0.22
8187,081878,Sabadell,Costa Barcelona,Barcelona,390177.696598509,4630361.58742373,327.00,3.11,216520.00,32494.00,12533.00,16.25,18.50,683.98,673.16,632.54,589.20,542.01,507.99,34.64,0.11,105.00,"37,78",B,130,81596,148,0.18
8196,081960,Sant Andreu de la Barca,Costa Barcelona,Barcelona,407597.968137491,4595521.04434576,14.00,1.75,27569.00,33619.00,12270.00,14.04,13.70,643.83,639.08,636.23,606.73,544.20,522.17,23.30,0.08,8.00,"5,62",B,12,9977,12,0.12
8197,081976,Sant Andreu de Llavaneres,Costa Barcelona,Barcelona,448245.268395114,4607134.55870509,800.00,8.25,11133.00,43884.00,15952.00,14.98,16.00,1056.97,997.88,907.12,837.38,770.48,766.87,37.83,1.67,97.00,"11,84",B,119,3785,242,6.39
8198,081982,Sant Antoni de Vilamajor,Costa Barcelona,Barcelona,448245.268395114,4612941.31588475,103.00,8.58,6208.00,38069.00,14178.00,9.23,14.70,709.29,649.64,659.49,607.05,556.05,550.18,28.92,0.43,12.00,"13,7",B,17,2084,21,01.01
8200,082009,Sant Boi de Llobregat,Costa Barcelona,Barcelona,419211.482496812,4578100.77280678,80.00,3.48,84500.00,32501.00,12120.00,13.87,18.50,723.30,710.10,673.41,639.59,590.69,551.59,31.13,0.07,23.00,"21,47",B,59,30582,59,0.19
8203,082037,Sant Cebrià de Vallalta,Costa Barcelona,Barcelona,465665.539934096,4612941.31588475,565.00,8.19,3438.00,31784.00,12644.00,12.27,14.90,858.75,723.38,717.93,568.41,616.18,609.55,40.88,3.4,69.00,"15,68",B,91,1296,191,14.74
8202,082021,Sant Celoni,Costa Barcelona,Barcelona,459858.782754435,4618748.07306441,43.00,6.14,18136.00,33150.00,12291.00,15.63,17.20,574.87,577.54,541.80,505.98,466.81,434.55,32.29,0.09,7.00,"65,18",B,17,6474,24,0.37
8204,082042,Sant Climent de Llobregat,Costa Barcelona,Barcelona,407597.968137491,4578100.77280678,0.00,,4160.00,38892.00,13369.00,5.62,13.30,760.85,711.60,693.65,660.24,599.63,586.53,29.72,0,0.00,"10,81",B,0,1364,0,0.00
8205,082055,Sant Cugat del Vallès,Costa Barcelona,Barcelona,419211.482496812,4595521.04434576,599.00,3.92,92977.00,59606.00,19591.00,18.44,13.10,1177.85,1134.23,1149.55,1095.85,996.07,897.54,31.23,0.46,153.00,"48,24",B,238,29641,260,0.88
